"","Marital_Status","Term","Phone_service","International_plan","Voice_mail_plan","Multiple_line","Internet_service","Technical_support","Streaming_Videos","Agreement_period","Monthly_Charges","Total_Charges","Churn"
"116","Married",66,"Yes","Yes","Yes","Yes","Cable","No","No","Monthly contract",92.05,5308.7,"No"
"145","Married",47,"No","No","No","No phone ","DSL","No","No","Monthly contract",42.3,2348.45,"Yes"
"425","Single",2,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.45,19.25,"No"
"75","Single",22,"Yes","Yes","Yes","Yes","No Internet","No internet ","No internet ","Monthly contract",25.8,587.4,"No"
"202","Married",1,"Yes","Yes","Yes","No","DSL","Yes","Yes","Monthly contract",69.5,73.6,"No"
"596","Married",72,"Yes","No","No","Yes","Fiber optic","Yes","Yes","Two year contract",115.75,8468.2,"No"
"653","Single",18,"Yes","yes","No","No","DSL","No","No","One year contract",45.7,1253.15,"No"
"473","Married",21,"Yes","yes","Yes","Yes","Fiber optic","No","No","Monthly contract",78.95,1231.85,"No"
"230","Married",4,"Yes","Yes","No","No","DSL","Yes","No","Monthly contract",69.5,313.6,"No"
"300","Married",57,"Yes","No","Yes","Yes","Cable","Yes","Yes","Monthly contract",99.75,5509.3,"No"
"13","Single",1,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.9,74.6,"No"
"66","Single",17,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.75,204.55,"No"
"393","Married",72,"Yes","No","No","Yes","Fiber optic","No","No","Two year contract",78.9,5468.45,"No"
"38","Married",13,"Yes","No","No","Yes","Cable","Yes","Yes","One year contract",100.55,1511.2,"No"
"399","Married",10,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Two year contract",100.55,858.6,"No"
"779","Married",54,"Yes","No","Yes","Yes","DSL","Yes","No","One year contract",73.5,4054.2,"No"
"861","Married",68,"Yes","No","No","Yes","DSL","Yes","Yes","Two year contract",73.25,4732.35,"No"
"532","Married",72,"Yes","Yes","Yes","Yes","Cable","No","Yes","Two year contract",79.7,5293.95,"No"
"325","Married",10,"Yes","Yes","Yes","No","DSL","No","No","Monthly contract",64.5,887.35,"Yes"
"464","Single",72,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",20.35,1360.25,"No"
"597","Single",44,"Yes","yes","No","Yes","No Internet","No internet ","No internet ","One year contract",25.7,1505.9,"No"
"947","Single",5,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20,94.15,"No"
"257","Married",66,"Yes","No","No","Yes","Fiber optic","No","Yes","One year contract",100.35,7250.15,"No"
"853","Married",72,"Yes","Yes","Yes","Yes","DSL","Yes","Yes","Two year contract",85.75,5986.45,"No"
"978","Married",64,"No","No","No","No phone ","DSL","No","No","Monthly contract",52.55,3139.8,"Yes"
"826","Married",56,"Yes","No","No","Yes","Fiber optic","No","Yes","One year contract",110.3,6396.45,"Yes"
"435","Married",66,"Yes","No","Yes","Yes","DSL","Yes","Yes","Two year contract",89.85,5755.8,"No"
"768","Married",22,"Yes","yes","No","Yes","Fiber optic","No","Yes","Monthly contract",99.8,1842.8,"Yes"
"278","Single",2,"Yes","No","No","No","DSL","No","No","Monthly contract",44.35,62,"Yes"
"683","Married",1,"Yes","yes","Yes","Yes","Fiber optic","No","No","Monthly contract",74.95,45.7,"Yes"
"986","Married",3,"Yes","yes","No","Yes","Fiber optic","No","No","Monthly contract",73.85,318.1,"Yes"
"338","Married",9,"Yes","No","No","No","DSL","No","No","Monthly contract",56,846,"No"
"15","Single",52,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",20.6,1022.95,"No"
"390","Married",62,"Yes","No","No","No","DSL","Yes","Yes","Two year contract",79.15,5435,"No"
"83","Married",17,"Yes","Yes","No","No","DSL","No","No","Monthly contract",50.65,394.1,"No"
"485","Married",29,"Yes","No","No","Yes","Fiber optic","No","Yes","Monthly contract",85.95,2664.3,"No"
"933","Married",65,"Yes","Yes","No","Yes","Fiber optic","Yes","Yes","One year contract",104.8,6744.25,"No"
"318","Single",19,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","One year contract",19.6,504.2,"No"
"386","Married",18,"Yes","No","No","No","DSL","Yes","No","Monthly contract",55.2,996.85,"No"
"144","Married",48,"Yes","No","Yes","Yes","Cable","No","Yes","One year contract",99.15,4016.75,"Yes"
"112","Married",1,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.7,114.1,"Yes"
"697","Married",10,"Yes","yes","No","No","DSL","No","Yes","Monthly contract",64.8,663.05,"No"
"570","Single",12,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.25,193.05,"No"
"704","Married",59,"Yes","No","Yes","Yes","Fiber optic","No","Yes","Monthly contract",100,5861.75,"Yes"
"957","Married",65,"Yes","No","Yes","Yes","Fiber optic","No","Yes","Monthly contract",105.55,6744.25,"Yes"
"938","Single",5,"Yes","yes","No","No","No Internet","No internet ","No internet ","Monthly contract",20.75,298.7,"No"
"53","Married",5,"Yes","Yes","Yes","Yes","Cable","Yes","Yes","Monthly contract",82.45,292.8,"No"
"745","Married",70,"Yes","Yes","No","Yes","Fiber optic","No","Yes","Two year contract",90.35,6668.05,"No"
"681","Married",72,"Yes","yes","No","Yes","No Internet","No internet ","No internet ","Two year contract",25.9,1642.75,"No"
"180","Married",7,"Yes","Yes","Yes","Yes","Cable","No","Yes","Monthly contract",85.95,516.15,"Yes"
"677","Married",2,"Yes","Yes","No","No","DSL","No","No","Monthly contract",56.15,90.85,"Yes"
"889","Married",11,"Yes","yes","Yes","No","Fiber optic","Yes","No","One year contract",84.35,858.6,"No"
"261","Married",5,"Yes","Yes","Yes","Yes","Cable","No","No","Monthly contract",74.4,273,"Yes"
"379","Single",18,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.7,490.65,"No"
"528","Married",15,"Yes","yes","Yes","No","Fiber optic","Yes","Yes","Monthly contract",102.45,1667.25,"Yes"
"533","Single",1,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.65,40.2,"No"
"138","Married",71,"No","No","No","No phone ","DSL","Yes","Yes","Two year contract",60.2,4179.2,"No"
"173","Married",22,"Yes","Yes","Yes","No","DSL","Yes","Yes","Monthly contract",65.55,1652.95,"No"
"907","Single",6,"No","No","No","No phone ","DSL","No","No","Monthly contract",24.8,61.35,"No"
"592","Married",8,"Yes","yes","No","No","Cable","Yes","No","Monthly contract",55.05,644.35,"Yes"
"914","Married",56,"Yes","Yes","No","Yes","Fiber optic","No","Yes","Two year contract",104.8,5608.4,"No"
"535","Married",15,"Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Monthly contract",106.35,1559.25,"Yes"
"137","Married",45,"Yes","Yes","No","No","No Internet","No internet ","No internet ","Two year contract",20.35,1167.6,"No"
"413","Married",5,"Yes","Yes","Yes","No","Fiber optic","No","Yes","Monthly contract",89.35,307.4,"Yes"
"232","Married",4,"Yes","Yes","No","No","Cable","No","No","Monthly contract",69.55,268.35,"No"
"996","Married",56,"Yes","No","Yes","Yes","Fiber optic","No","Yes","One year contract",84.5,4054.2,"No"
"913","Married",3,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",84.35,234.85,"Yes"
"177","Single",4,"No","No","No","No phone ","DSL","No","Yes","Monthly contract",49.85,61.7,"Yes"
"226","Married",34,"Yes","No","Yes","Yes","Cable","Yes","Yes","Monthly contract",105.05,4113.1,"Yes"
"213","Married",36,"Yes","No","No","No","DSL","Yes","Yes","One year contract",78.8,2278.75,"No"
"609","Single",58,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","One year contract",19.95,1153.25,"No"
"480","Married",24,"Yes","No","No","Yes","Fiber optic","Yes","Yes","Monthly contract",108.45,2231.05,"No"
"285","Married",8,"Yes","Yes","Yes","No","Cable","No","Yes","Monthly contract",95.5,564.35,"No"
"953","Single",6,"No","No","No","No phone ","DSL","No","No","Monthly contract",30.4,168.15,"No"
"396","Married",46,"Yes","No","No","No","Fiber optic","No","No","Monthly contract",79.85,3650.35,"No"
"909","Single",12,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.55,365.8,"No"
"829","Married",3,"Yes","yes","No","No","DSL","Yes","Yes","Monthly contract",75.3,531,"No"
"848","Married",35,"Yes","No","Yes","Yes","Fiber optic","No","Yes","Monthly contract",104.15,3646.8,"Yes"
"344","Married",69,"Yes","No","Yes","Yes","DSL","No","Yes","Two year contract",68.75,4758.8,"No"
"304","Married",66,"Yes","No","Yes","No","DSL","Yes","No","One year contract",79.85,5468.45,"No"
"301","Married",7,"Yes","No","Yes","Yes","Fiber optic","No","No","Monthly contract",78.85,574.35,"No"
"494","Married",11,"Yes","yes","No","No","Fiber optic","No","No","Monthly contract",79.85,663.05,"Yes"
"777","Married",24,"Yes","No","No","No","Fiber optic","Yes","Yes","Monthly contract",105.1,2595.25,"Yes"
"755","Married",32,"Yes","No","Yes","Yes","Fiber optic","No","Yes","Monthly contract",94.35,3082.1,"Yes"
"376","Married",63,"Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Monthly contract",94.85,6126.15,"No"
"391","Single",60,"Yes","No","No","Yes","No Internet","No internet ","No internet ","Two year contract",25.4,1359.7,"No"
"74","Married",1,"Yes","Yes","Yes","No","Cable","No","No","Monthly contract",70,19.9,"Yes"
"674","Single",20,"Yes","Yes","No","Yes","No Internet","No internet ","No internet ","Two year contract",25.6,413,"No"
"659","Single",32,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","One year contract",19.75,720.05,"No"
"881","Married",52,"Yes","No","No","No","Fiber optic","No","Yes","One year contract",97.55,4619.55,"No"
"747","Married",41,"Yes","Yes","No","No","No Internet","No internet ","No internet ","One year contract",19.9,1126.35,"No"
"647","Single",12,"Yes","yes","No","No","No Internet","No internet ","No internet ","Monthly contract",20.2,326.8,"No"
"484","Married",44,"Yes","No","No","Yes","Fiber optic","No","Yes","One year contract",100.9,4619.55,"No"
"410","Married",58,"Yes","Yes","No","Yes","Fiber optic","No","Yes","One year contract",105.05,5453.4,"Yes"
"291","Married",15,"Yes","Yes","Yes","Yes","Cable","No","Yes","Monthly contract",99.05,1288.3,"Yes"
"624","Married",1,"Yes","Yes","No","No","Fiber optic","No","Yes","Monthly contract",81.05,29.85,"Yes"
"247","Single",56,"No","No","No","No phone ","DSL","No","No","One year contract",30.2,1266.4,"No"
"228","Married",33,"Yes","Yes","No","Yes","Cable","Yes","No","One year contract",89,2768.35,"No"
"970","Single",58,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",20.2,1305.95,"No"
"705","Married",50,"Yes","No","Yes","Yes","DSL","Yes","Yes","Two year contract",85.15,3906.7,"No"
"601","Married",27,"Yes","yes","Yes","Yes","Fiber optic","No","No","Monthly contract",73.85,1509.8,"Yes"
"787","Married",56,"Yes","Yes","No","Yes","Fiber optic","No","Yes","One year contract",93.4,5238.9,"No"
"63","Single",3,"Yes","No","No","No","No Internet","No internet ","No internet ","Monthly contract",20.55,132.25,"No"
"236","Married",5,"Yes","Yes","No","No","Cable","No","Yes","Monthly contract",93.95,234.85,"Yes"
"491","Married",42,"Yes","No","No","Yes","Fiber optic","No","Yes","Two year contract",101.15,4889.3,"No"
"701","Married",23,"Yes","yes","No","Yes","Fiber optic","No","No","Monthly contract",75.1,1732.6,"No"
"761","Married",55,"Yes","No","Yes","Yes","DSL","Yes","No","Two year contract",79.85,4461.85,"Yes"
"789","Married",15,"Yes","yes","No","Yes","Fiber optic","No","No","Monthly contract",76.1,889,"No"
"364","Single",35,"Yes","No","No","No","No Internet","No internet ","No internet ","Two year contract",20.15,780.2,"No"
"135","Married",46,"Yes","Yes","No","No","Cable","Yes","No","Monthly contract",84.05,2958.95,"No"
"956","Married",28,"Yes","No","Yes","No","DSL","Yes","Yes","One year contract",81.75,2149.05,"No"
"452","Married",7,"Yes","yes","Yes","No","DSL","No","No","Monthly contract",59,832.35,"No"
"432","Married",37,"Yes","No","Yes","No","Fiber optic","No","Yes","Monthly contract",93.95,3247.55,"No"
"687","Married",26,"No","No","No","No phone ","DSL","No","Yes","Monthly contract",45,1315.35,"No"
"895","Married",3,"Yes","yes","Yes","Yes","Fiber optic","No","Yes","Monthly contract",90.15,273,"Yes"
"27","Married",22,"Yes","Yes","Yes","Yes","Cable","Yes","No","One year contract",59.6,1832.4,"No"
"65","Single",1,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.55,119.5,"No"
"565","Married",59,"Yes","No","Yes","No","Fiber optic","No","Yes","One year contract",110.5,6396.45,"No"
"203","Married",40,"Yes","Yes","Yes","No","Cable","Yes","No","Monthly contract",86.1,3339.05,"Yes"
"361","Married",27,"Yes","Yes","Yes","No","DSL","Yes","No","Monthly contract",54.65,1058.1,"No"
"566","Single",72,"Yes","yes","Yes","Yes","No Internet","No internet ","No internet ","One year contract",25.05,1756.2,"No"
"280","Married",52,"Yes","No","No","No","Cable","No","No","One year contract",100.55,4298.45,"No"
"407","Married",60,"Yes","No","No","Yes","DSL","Yes","No","Two year contract",59.6,3487.95,"No"
"958","Married",44,"Yes","No","Yes","Yes","Fiber optic","No","Yes","One year contract",103.85,5032.25,"Yes"
"185","Married",68,"Yes","No","Yes","Yes","Cable","Yes","No","One year contract",90.35,6668.05,"No"
"830","Married",66,"Yes","No","No","Yes","DSL","Yes","Yes","Two year contract",89.65,5308.7,"No"
"793","Married",31,"Yes","No","Yes","Yes","Fiber optic","Yes","No","One year contract",96.55,3082.1,"No"
"329","Married",42,"Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Monthly contract",101.15,5067.45,"Yes"
"794","Single",6,"No","No","No","No phone ","DSL","No","Yes","Monthly contract",34.7,141.5,"No"
"169","Married",43,"Yes","No","Yes","Yes","Cable","Yes","Yes","One year contract",108,4860.35,"Yes"
"141","Married",30,"Yes","Yes","Yes","Yes","No Internet","No internet ","No internet ","Monthly contract",24.45,5,"No"
"124","Married",40,"Yes","No","Yes","Yes","Cable","No","Yes","Monthly contract",101.3,3480,"Yes"
"925","Married",24,"Yes","yes","No","No","DSL","No","Yes","Monthly contract",64.7,1758.6,"No"
"924","Single",1,"Yes","yes","Yes","No","DSL","No","No","Monthly contract",45.35,139.4,"Yes"
"642","Single",2,"Yes","yes","Yes","No","DSL","No","No","Monthly contract",45.35,114.1,"No"
"8","Married",36,"Yes","Yes","No","Yes","Cable","No","Yes","Monthly contract",94.65,3266,"Yes"
"713","Married",1,"Yes","yes","No","No","Fiber optic","No","Yes","Monthly contract",85.9,44.8,"Yes"
"43","Married",72,"Yes","No","Yes","Yes","Cable","Yes","Yes","Monthly contract",88.85,5986.45,"Yes"
"332","Single",2,"Yes","Yes","No","No","DSL","No","No","Monthly contract",44.95,75.05,"Yes"
"931","Married",31,"Yes","Yes","No","Yes","Fiber optic","Yes","No","Monthly contract",81.2,2497.2,"No"
"223","Married",68,"Yes","No","Yes","Yes","DSL","No","No","One year contract",51.6,2799.75,"No"
"622","Married",24,"Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Monthly contract",85.25,2514.5,"No"
"152","Married",15,"Yes","No","Yes","Yes","Cable","No","No","Monthly contract",78.55,731.3,"No"
"6","Single",15,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.85,255.35,"No"
"161","Married",50,"Yes","No","No","Yes","DSL","Yes","No","One year contract",64.4,3487.95,"No"
"244","Married",71,"Yes","No","Yes","Yes","Cable","No","No","Two year contract",91.7,6369.45,"No"
"354","Married",72,"Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Two year contract",116.1,8468.2,"No"
"902","Married",26,"Yes","yes","Yes","No","DSL","Yes","No","One year contract",64.4,1845.9,"No"
"843","Married",72,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Two year contract",112.25,8003.8,"No"
"449","Married",3,"Yes","yes","Yes","No","DSL","Yes","No","Monthly contract",64.3,233.7,"No"
"517","Married",1,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",74.5,49.9,"Yes"
"248","Married",64,"Yes","No","No","Yes","Cable","No","Yes","One year contract",108.1,7008.15,"No"
"954","Married",12,"Yes","yes","Yes","Yes","Fiber optic","No","Yes","Monthly contract",85.95,1582.75,"No"
"383","Married",8,"Yes","Yes","Yes","No","Fiber optic","No","Yes","Monthly contract",89.55,609.65,"Yes"
"553","Married",2,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",73.6,55.05,"No"
"876","Married",13,"Yes","yes","Yes","No","Fiber optic","No","Yes","Monthly contract",99.1,1415,"Yes"
"188","Married",43,"Yes","No","No","Yes","Cable","No","Yes","Two year contract",99.8,4747.5,"No"
"997","Married",56,"Yes","No","Yes","Yes","DSL","No","Yes","Two year contract",83.5,3958.25,"No"
"628","Married",61,"No","No","No","No phone ","DSL","Yes","Yes","Two year contract",59.55,3009.5,"No"
"631","Married",2,"Yes","yes","No","Yes","DSL","Yes","No","Monthly contract",58.95,19.55,"No"
"84","Single",2,"Yes","Yes","No","No","DSL","No","No","Monthly contract",44.85,20.25,"No"
"368","Single",27,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","One year contract",19.4,417,"No"
"97","Married",16,"Yes","Yes","Yes","Yes","DSL","No","Yes","Monthly contract",78.75,1212.85,"No"
"969","Married",63,"Yes","No","Yes","Yes","Fiber optic","No","Yes","Monthly contract",105.5,6597.25,"Yes"
"408","Married",27,"Yes","yes","Yes","No","DSL","Yes","Yes","Monthly contract",81.05,1861.5,"No"
"765","Married",71,"Yes","No","No","Yes","Fiber optic","No","Yes","Two year contract",104.6,6962.85,"No"
"534","Married",66,"Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","One year contract",104.8,7039.45,"No"
"928","Single",17,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",19.45,237.7,"No"
"863","Married",72,"Yes","No","No","Yes","Fiber optic","No","Yes","Two year contract",101.55,7848.5,"No"
"481","Married",72,"Yes","No","No","No","Fiber optic","Yes","Yes","Two year contract",95.1,7303.05,"No"
"932","Single",10,"No","No","No","No phone ","DSL","No","No","Monthly contract",30.15,498.25,"No"
"123","Married",71,"Yes","No","Yes","No","Cable","No","No","Two year contract",74.8,4784.45,"No"
"984","Married",6,"Yes","yes","No","No","Fiber optic","Yes","Yes","Monthly contract",94.45,352.65,"No"
"923","Single",6,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.15,132.25,"No"
"402","Married",32,"Yes","Yes","Yes","Yes","DSL","Yes","No","One year contract",56.6,2215.45,"No"
"652","Married",6,"Yes","yes","No","No","Fiber optic","No","No","Monthly contract",76.45,424.45,"Yes"
"872","Married",44,"Yes","Yes","Yes","Yes","Fiber optic","No","No","Monthly contract",84.3,3566.6,"No"
"265","Single",72,"No","No","No","No phone ","DSL","Yes","Yes","Two year contract",41.15,3423.5,"No"
"800","Single",24,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","One year contract",20.4,504.2,"No"
"926","Married",3,"Yes","yes","Yes","No","DSL","Yes","No","Monthly contract",55.2,233.7,"Yes"
"693","Married",19,"Yes","yes","No","Yes","Fiber optic","No","Yes","Monthly contract",107.95,1968.1,"No"
"703","Married",61,"No","No","No","No phone ","DSL","Yes","Yes","Two year contract",55,2473.95,"No"
"142","Married",4,"Yes","Yes","Yes","Yes","Cable","No","Yes","Monthly contract",105.35,424.45,"Yes"
"114","Married",39,"Yes","Yes","Yes","Yes","Cable","No","Yes","Monthly contract",94.4,3266,"Yes"
"802","Single",1,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.15,20.2,"No"
"289","Married",66,"Yes","Yes","Yes","Yes","DSL","Yes","Yes","Two year contract",89.8,5965.95,"No"
"844","Married",60,"Yes","No","Yes","Yes","Fiber optic","No","Yes","Monthly contract",85.55,4884.85,"No"
"721","Married",3,"Yes","yes","No","No","No Internet","No internet ","No internet ","Monthly contract",19.15,131.05,"No"
"798","Single",48,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",20.5,1252,"No"
"181","Married",47,"Yes","No","Yes","No","DSL","Yes","No","Two year contract",59.75,3437.45,"No"
"373","Married",69,"Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Two year contract",108.55,7882.25,"No"
"107","Married",57,"Yes","Yes","Yes","Yes","Cable","No","No","One year contract",90.95,5515.45,"Yes"
"600","Married",2,"Yes","yes","Yes","Yes","Fiber optic","No","Yes","Monthly contract",99.7,20.8,"Yes"
"675","Married",8,"Yes","Yes","No","No","No Internet","No internet ","No internet ","Monthly contract",20.2,237.7,"No"
"5","Married",40,"Yes","Yes","No","Yes","Cable","No","Yes","Monthly contract",95.05,3646.8,"No"
"595","Married",56,"Yes","No","No","Yes","Fiber optic","No","Yes","One year contract",99.65,5681.1,"Yes"
"766","Married",3,"Yes","yes","No","No","Fiber optic","No","Yes","Monthly contract",93.95,273.4,"No"
"720","Married",15,"Yes","yes","No","No","No Internet","No internet ","No internet ","One year contract",19.45,320.45,"No"
"61","Married",72,"Yes","No","Yes","Yes","Cable","Yes","No","Two year contract",69.65,4811.6,"Yes"
"418","Married",29,"Yes","No","No","Yes","Fiber optic","Yes","Yes","One year contract",90.4,2679.7,"No"
"651","Married",22,"Yes","yes","No","Yes","Fiber optic","No","No","Monthly contract",89,1752.55,"No"
"759","Married",72,"Yes","No","Yes","Yes","DSL","Yes","Yes","Two year contract",88.15,6316.2,"No"
"708","Married",1,"Yes","yes","No","No","Fiber optic","Yes","No","Monthly contract",75.9,20.25,"No"
"557","Married",65,"Yes","No","Yes","Yes","Fiber optic","No","No","Monthly contract",76.5,5550.1,"No"
"559","Married",6,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",76.45,248.4,"Yes"
"530","Married",72,"Yes","No","Yes","Yes","Cable","Yes","No","Two year contract",64.15,3739.8,"No"
"753","Married",1,"Yes","yes","No","No","DSL","No","No","Monthly contract",48.55,19.9,"Yes"
"742","Married",2,"Yes","Yes","No","No","DSL","No","No","Monthly contract",44.95,89.3,"Yes"
"324","Married",49,"Yes","Yes","Yes","Yes","DSL","No","No","Monthly contract",59.6,2970.3,"Yes"
"944","Married",63,"Yes","No","No","Yes","Fiber optic","No","Yes","One year contract",99.35,6311.2,"No"
"92","Single",67,"No","No","No","No phone ","DSL","Yes","No","Two year contract",30.2,1620.2,"Yes"
"214","Married",69,"Yes","No","No","Yes","DSL","Yes","No","Two year contract",66.85,4805.65,"No"
"579","Married",46,"Yes","No","Yes","Yes","Cable","No","No","One year contract",60.9,3902.6,"No"
"741","Married",2,"Yes","Yes","No","No","Fiber optic","No","Yes","Monthly contract",98.5,52.2,"Yes"
"929","Married",1,"Yes","yes","Yes","Yes","Fiber optic","No","No","Monthly contract",74.4,80,"Yes"
"880","Single",30,"No","No","No","No phone ","DSL","No","No","One year contract",30.35,540.05,"No"
"426","Married",24,"Yes","yes","Yes","No","DSL","No","No","Monthly contract",54.65,1288.75,"No"
"3","Married",36,"Yes","No","Yes","No","Cable","Yes","Yes","Monthly contract",73.35,2379.1,"No"
"725","Married",4,"Yes","yes","No","No","Fiber optic","No","No","One year contract",69.7,313.6,"No"
"977","Married",63,"Yes","No","Yes","Yes","Fiber optic","No","Yes","One year contract",103.25,6985.65,"No"
"906","Single",13,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","One year contract",20.4,202.25,"No"
"498","Single",1,"Yes","Yes","No","No","No Internet","No internet ","No internet ","Monthly contract",19.3,86.6,"No"
"150","Married",19,"Yes","No","Yes","Yes","Cable","No","Yes","Monthly contract",94.3,2317.1,"No"
"182","Married",10,"Yes","Yes","Yes","No","Cable","No","Yes","Monthly contract",95,597.9,"Yes"
"10","Married",57,"Yes","No","No","Yes","Cable","Yes","Yes","One year contract",113.25,6068.65,"No"
"347","Single",46,"Yes","No","Yes","Yes","No Internet","No internet ","No internet ","Two year contract",24.4,1336.1,"No"
"921","Single",1,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.75,84.6,"No"
"963","Married",29,"Yes","yes","Yes","No","DSL","No","No","Monthly contract",55.3,1183.8,"Yes"
"303","Married",35,"Yes","No","Yes","No","Fiber optic","No","No","Monthly contract",85.05,2917.5,"No"
"587","Single",34,"No","No","No","No phone ","Cable","Yes","No","Monthly contract",30.35,690.25,"No"
"2","Married",70,"Yes","No","Yes","No","Cable","Yes","Yes","One year contract",75.25,5023,"No"
"255","Married",21,"Yes","No","No","No","Fiber optic","No","No","Monthly contract",73.25,1339.8,"No"
"617","Married",8,"Yes","yes","Yes","No","Fiber optic","No","Yes","Monthly contract",93.95,516.15,"Yes"
"959","Married",7,"Yes","yes","Yes","Yes","Fiber optic","No","Yes","Monthly contract",95.6,624.6,"Yes"
"455","Married",1,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",70.4,35.45,"No"
