"","Marital_Status","Term","Phone_service","International_plan","Voice_mail_plan","Multiple_line","Internet_service","Technical_support","Streaming_Videos","Agreement_period","Monthly_Charges","Total_Charges","Churn"
"121","Married",48,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","One year contract",20,855.1,"No"
"424","Single",46,"Yes","yes","Yes","Yes","No Internet","No internet ","No internet ","One year contract",23.6,1623.4,"No"
"471","Married",1,"Yes","Yes","Yes","No","DSL","No","No","Monthly contract",51.2,167.5,"Yes"
"95","Single",4,"Yes","Yes","Yes","No","DSL","No","No","Monthly contract",46,100.2,"Yes"
"1000","Single",69,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",19.15,1363.45,"No"
"735","Married",18,"Yes","No","No","No","Fiber optic","Yes","Yes","Monthly contract",105.1,2172.05,"No"
"531","Married",22,"Yes","yes","No","No","Fiber optic","Yes","Yes","Monthly contract",103.7,1901.65,"No"
"664","Married",72,"Yes","No","No","Yes","Fiber optic","Yes","No","Two year contract",90.05,6369.45,"Yes"
"23","Married",32,"No","No","No","No phone ","Cable","Yes","Yes","One year contract",54.6,1665.2,"No"
"733","Married",15,"No","No","No","No phone ","DSL","Yes","Yes","Monthly contract",59.85,952.3,"No"
"118","Married",2,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","One year contract",20.55,85.7,"No"
"689","Married",56,"Yes","No","No","Yes","Fiber optic","No","No","One year contract",96.75,5812,"No"
"469","Married",22,"Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Monthly contract",100.5,1907.85,"Yes"
"286","Married",32,"Yes","Yes","Yes","Yes","Cable","No","No","Monthly contract",81.1,2848.45,"No"
"59","Married",27,"Yes","Yes","Yes","Yes","Cable","No","No","Monthly contract",78.55,1874.45,"Yes"
"867","Married",60,"Yes","Yes","Yes","Yes","Fiber optic","No","Yes","One year contract",89.85,4874.7,"No"
"26","Married",72,"Yes","No","No","Yes","Cable","Yes","Yes","Two year contract",115.8,8220.4,"No"
"542","Single",15,"No","No","No","No phone ","Cable","Yes","No","Monthly contract",31.05,681.4,"No"
"714","Married",42,"Yes","No","Yes","Yes","Fiber optic","No","No","One year contract",83.15,3442.15,"No"
"807","Married",55,"Yes","No","No","No","Fiber optic","No","Yes","One year contract",100.5,5608.4,"Yes"
"561","Married",72,"Yes","No","Yes","Yes","Fiber optic","No","Yes","Two year contract",105.4,7848.5,"No"
"414","Married",63,"Yes","Yes","No","Yes","Fiber optic","No","Yes","Two year contract",100.9,6413.65,"No"
"823","Married",1,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",69.55,71.1,"Yes"
"479","Single",1,"Yes","yes","No","No","No Internet","No internet ","No internet ","Monthly contract",20.05,181.5,"No"
"739","Married",72,"Yes","Yes","Yes","Yes","DSL","Yes","Yes","Two year contract",85.75,6309.65,"No"
"877","Married",38,"Yes","No","No","Yes","Fiber optic","Yes","Yes","Two year contract",116.25,3395.8,"No"
"832","Married",35,"Yes","yes","Yes","No","DSL","No","Yes","One year contract",80.6,2054.4,"No"
"328","Single",35,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",20.4,1024.7,"No"
"608","Married",66,"Yes","No","Yes","Yes","Fiber optic","No","No","One year contract",76.5,5730.7,"No"
"621","Married",32,"No","No","No","No phone ","DSL","Yes","No","One year contract",54.85,1442.6,"No"
"994","Married",5,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",69.55,302.6,"Yes"
"139","Married",2,"Yes","Yes","No","No","DSL","No","Yes","Monthly contract",55,161.5,"Yes"
"804","Married",70,"Yes","No","No","No","DSL","Yes","Yes","Two year contract",69.5,4973.4,"No"
"492","Single",18,"No","No","No","No phone ","DSL","Yes","No","Monthly contract",35.75,830.8,"No"
"572","Single",1,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.35,80,"No"
"321","Married",20,"Yes","Yes","Yes","Yes","Fiber optic","No","No","Monthly contract",86.1,2239.4,"No"
"88","Married",34,"Yes","Yes","Yes","No","Cable","No","Yes","Monthly contract",95.1,3480,"No"
"496","Married",27,"Yes","yes","No","No","DSL","Yes","Yes","One year contract",79.15,2028.8,"No"
"781","Married",4,"Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Monthly contract",99.3,273,"Yes"
"658","Single",1,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.95,19.75,"No"
"55","Single",23,"Yes","Yes","Yes","Yes","No Internet","No internet ","No internet ","Monthly contract",25.55,419.9,"No"
"146","Married",35,"Yes","No","Yes","Yes","Cable","No","Yes","Monthly contract",94.3,3365.4,"No"
"922","Married",71,"Yes","Yes","No","Yes","Fiber optic","Yes","Yes","Two year contract",116.1,8404.9,"No"
"336","Married",29,"Yes","No","No","Yes","Fiber optic","No","Yes","Monthly contract",90.85,2768.35,"Yes"
"655","Married",36,"Yes","No","No","No","DSL","Yes","Yes","One year contract",84.85,3089.1,"No"
"840","Single",2,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.75,242.8,"No"
"154","Married",50,"Yes","Yes","No","Yes","Cable","Yes","Yes","One year contract",111.2,5686.4,"No"
"602","Married",15,"Yes","yes","Yes","No","Fiber optic","Yes","Yes","One year contract",100.3,1120.95,"No"
"702","Married",66,"Yes","yes","No","No","No Internet","No internet ","No internet ","Two year contract",20.55,1363.25,"No"
"750","Married",31,"Yes","No","No","No","Fiber optic","No","Yes","Monthly contract",89.25,2861.45,"No"
"183","Married",35,"Yes","No","Yes","No","Cable","No","No","Monthly contract",91.65,3161.2,"Yes"
"242","Married",65,"Yes","No","Yes","No","DSL","Yes","Yes","Two year contract",78.8,5411.4,"No"
"499","Single",35,"Yes","Yes","No","No","No Internet","No internet ","No internet ","One year contract",19.95,963.95,"No"
"275","Single",56,"Yes","No","No","Yes","No Internet","No internet ","No internet ","Two year contract",24.7,1505.9,"No"
"430","Married",41,"Yes","No","No","No","Fiber optic","No","No","Monthly contract",79.25,3089.1,"Yes"
"224","Single",60,"No","No","No","No phone ","DSL","Yes","No","Two year contract",35.8,1195.25,"No"
"32","Married",71,"Yes","No","Yes","No","Cable","Yes","Yes","Two year contract",81.05,5714.25,"No"
"48","Married",65,"Yes","No","Yes","Yes","Cable","No","Yes","One year contract",105.9,6300.15,"No"
"384","Married",65,"No","No","No","No phone ","DSL","Yes","Yes","Two year contract",54.6,3027.25,"No"
"773","Single",1,"Yes","yes","No","No","No Internet","No internet ","No internet ","Monthly contract",21.05,75.3,"No"
"518","Married",20,"Yes","yes","Yes","No","Fiber optic","Yes","Yes","One year contract",95.15,1779.95,"No"
"603","Married",32,"Yes","No","Yes","No","DSL","Yes","Yes","Two year contract",86.1,3036.75,"No"
"264","Married",72,"Yes","No","No","Yes","Cable","Yes","Yes","Two year contract",115.75,8196.4,"No"
"669","Married",28,"Yes","No","No","Yes","Fiber optic","Yes","Yes","Monthly contract",104,3046.05,"No"
"873","Married",72,"Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Two year contract",114.55,8468.2,"No"
"472","Single",10,"Yes","yes","Yes","No","DSL","No","No","Monthly contract",44.95,435.4,"Yes"
"39","Married",2,"Yes","Yes","Yes","No","Cable","No","No","Monthly contract",75.35,19,"Yes"
"308","Married",60,"Yes","No","Yes","Yes","Fiber optic","Yes","No","One year contract",85.4,4925.35,"No"
"691","Married",65,"Yes","No","No","Yes","Fiber optic","No","Yes","Monthly contract",110.5,7008.15,"Yes"
"835","Married",13,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",79.25,1111.65,"No"
"960","Married",56,"Yes","No","Yes","No","Fiber optic","Yes","Yes","One year contract",98.8,5681.1,"Yes"
"748","Married",25,"Yes","yes","No","Yes","Fiber optic","No","No","Monthly contract",75.6,1929.35,"Yes"
"69","Married",72,"No","No","No","No phone ","Cable","Yes","Yes","Two year contract",60,4264,"Yes"
"22","Married",38,"Yes","No","No","Yes","Cable","No","Yes","Monthly contract",100.15,4113.1,"Yes"
"564","Married",22,"Yes","yes","Yes","No","Cable","No","Yes","Monthly contract",64.95,1614.05,"No"
"277","Single",7,"Yes","No","No","Yes","DSL","No","No","Monthly contract",44,362.6,"No"
"62","Single",58,"No","No","No","No phone ","Cable","No","No","One year contract",30.1,1423.85,"No"
"699","Married",15,"Yes","yes","No","Yes","Fiber optic","No","No","Monthly contract",75.1,1152.8,"No"
"554","Single",4,"No","No","No","No phone ","Cable","No","No","Monthly contract",30.4,208.45,"No"
"341","Married",33,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Monthly contract",94.3,3036.75,"No"
"337","Single",10,"No","No","No","No phone ","DSL","No","No","Monthly contract",40.7,394.1,"No"
"47","Married",35,"No","No","No","No phone ","Cable","Yes","No","Monthly contract",54.85,1916,"No"
"486","Married",56,"Yes","No","Yes","Yes","DSL","Yes","Yes","Two year contract",73.25,4149.45,"No"
"110","Married",50,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",20.75,945.7,"No"
"423","Married",15,"Yes","yes","Yes","Yes","Fiber optic","No","No","Monthly contract",75.1,927.35,"Yes"
"392","Married",3,"Yes","No","No","Yes","Fiber optic","No","Yes","Monthly contract",100.05,316.9,"Yes"
"476","Married",2,"Yes","yes","No","No","Fiber optic","Yes","No","Monthly contract",90.35,184.65,"No"
"196","Single",1,"Yes","Yes","No","No","No Internet","No internet ","No internet ","Monthly contract",19.6,35.45,"No"
"746","Married",65,"Yes","Yes","No","No","Fiber optic","No","Yes","Monthly contract",97,6311.2,"Yes"
"694","Married",16,"Yes","yes","No","Yes","Fiber optic","No","No","Monthly contract",75.6,764.55,"No"
"201","Single",59,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","One year contract",20.1,930.9,"No"
"976","Married",65,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Two year contract",113.3,7107,"No"
"316","Married",24,"Yes","Yes","Yes","No","Fiber optic","No","No","Monthly contract",73.25,2193,"No"
"237","Single",4,"Yes","Yes","No","No","No Internet","No internet ","No internet ","Monthly contract",20.2,202.15,"Yes"
"654","Single",2,"Yes","yes","No","No","DSL","No","No","Monthly contract",44.7,25.25,"No"
"752","Married",2,"Yes","yes","No","No","DSL","Yes","Yes","Monthly contract",70.3,34.75,"No"
"537","Single",1,"Yes","Yes","Yes","No","Cable","No","No","Monthly contract",45.65,161.5,"Yes"
"585","Married",8,"Yes","Yes","Yes","Yes","Fiber optic","Yes","No","One year contract",89.55,515.45,"No"
"952","Married",13,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",73.25,1074.3,"Yes"
"760","Married",72,"Yes","No","Yes","Yes","DSL","Yes","Yes","One year contract",89.85,6369.45,"No"
"920","Married",10,"Yes","yes","Yes","No","Fiber optic","No","Yes","Monthly contract",96.5,855.3,"Yes"
"271","Married",50,"Yes","No","No","No","DSL","Yes","Yes","Two year contract",73.25,3682.45,"No"
"710","Married",1,"Yes","yes","No","No","No Internet","No internet ","No internet ","Monthly contract",20.75,45.7,"Yes"
"343","Married",65,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","One year contract",109.9,7008.15,"No"
"436","Married",58,"Yes","No","Yes","Yes","DSL","Yes","No","Two year contract",73.5,4542.35,"No"
"298","Married",43,"Yes","No","Yes","Yes","Cable","Yes","Yes","One year contract",104.4,4327.5,"No"
"378","Married",1,"Yes","Yes","Yes","No","DSL","No","No","Monthly contract",56,19.75,"No"
"359","Single",43,"No","No","No","No phone ","DSL","Yes","Yes","One year contract",45.3,2838.55,"No"
"558","Married",66,"Yes","No","Yes","Yes","Fiber optic","No","Yes","Two year contract",103.4,7007.6,"No"
"989","Single",20,"Yes","yes","Yes","No","DSL","No","No","Monthly contract",49.25,1442,"No"
"711","Married",72,"Yes","No","No","Yes","DSL","Yes","Yes","One year contract",88.05,5986.45,"No"
"106","Married",61,"Yes","No","Yes","Yes","DSL","Yes","Yes","Two year contract",89.8,5822.3,"No"
"937","Married",32,"Yes","yes","No","No","DSL","No","No","One year contract",56.7,1889.5,"No"
"614","Married",4,"Yes","yes","Yes","Yes","Fiber optic","No","Yes","Monthly contract",98.3,371.9,"Yes"
"772","Single",36,"No","No","No","No phone ","DSL","Yes","No","Two year contract",30.85,808.95,"Yes"
"630","Single",1,"Yes","yes","No","No","No Internet","No internet ","No internet ","Monthly contract",20.8,143.65,"No"
"820","Single",11,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20,268.45,"No"
"897","Married",65,"No","No","No","No phone ","DSL","Yes","No","Two year contract",54.85,2962,"No"
"249","Married",26,"Yes","No","No","Yes","Fiber optic","No","No","Monthly contract",94.9,2088.05,"Yes"
"818","Single",1,"Yes","Yes","Yes","No","DSL","Yes","No","Two year contract",49.3,114.15,"No"
"812","Married",35,"Yes","Yes","Yes","No","DSL","No","No","One year contract",63.3,2003.6,"No"
"792","Married",20,"Yes","yes","Yes","Yes","Fiber optic","No","No","Monthly contract",82,1373.05,"No"
"251","Single",34,"Yes","No","No","No","No Internet","No internet ","No internet ","Monthly contract",20.4,865,"No"
"695","Married",48,"Yes","No","No","No","Fiber optic","No","No","One year contract",84.3,3682.45,"No"
"317","Married",56,"Yes","Yes","Yes","Yes","Fiber optic","Yes","No","Monthly contract",86,5450.7,"Yes"
"421","Married",62,"Yes","No","No","No","DSL","No","Yes","One year contract",79.2,4786.15,"No"
"599","Married",65,"Yes","No","No","Yes","DSL","Yes","No","One year contract",79.45,5023,"No"
"525","Married",23,"Yes","yes","Yes","No","Cable","No","No","Monthly contract",64.75,1832.4,"No"
"975","Single",1,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",21.1,47.7,"No"
"562","Single",15,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","One year contract",20.45,225.55,"No"
"838","Married",1,"Yes","yes","Yes","No","DSL","No","Yes","Monthly contract",58.95,75.3,"Yes"
"744","Married",68,"Yes","Yes","No","Yes","Fiber optic","Yes","No","Two year contract",98.2,7085.5,"No"
"854","Married",71,"Yes","Yes","Yes","Yes","DSL","No","Yes","Two year contract",83.5,5398.6,"No"
"640","Single",8,"Yes","yes","No","No","No Internet","No internet ","No internet ","One year contract",19.75,202.25,"No"
"186","Married",34,"Yes","No","No","No","DSL","Yes","Yes","Two year contract",81.15,2497.2,"No"
"212","Married",72,"Yes","No","No","Yes","DSL","Yes","No","Two year contract",66.85,5357.75,"No"
"629","Married",51,"Yes","No","No","Yes","Fiber optic","No","No","Monthly contract",94.7,4733.1,"No"
"776","Single",35,"Yes","yes","No","No","No Internet","No internet ","No internet ","Two year contract",20.35,690.25,"No"
"811","Married",2,"Yes","Yes","Yes","Yes","Fiber optic","No","No","Monthly contract",75.25,50.65,"No"
"778","Married",3,"Yes","yes","No","No","DSL","No","Yes","Monthly contract",81.95,531,"Yes"
"507","Married",15,"Yes","yes","No","Yes","Fiber optic","No","No","Monthly contract",75.1,1170.5,"No"
"475","Single",15,"No","No","No","No phone ","DSL","Yes","No","Monthly contract",30.75,362.6,"No"
"516","Single",11,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","One year contract",20.05,202.25,"No"
"245","Married",15,"Yes","No","Yes","Yes","Cable","No","No","Monthly contract",73.85,771.95,"Yes"
"82","Married",5,"Yes","Yes","No","No","Cable","No","Yes","Monthly contract",96.5,245.15,"Yes"
"981","Single",4,"Yes","yes","No","Yes","No Internet","No internet ","No internet ","One year contract",25.4,92.75,"No"
"912","Single",51,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",20,905.55,"No"
"893","Married",35,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Monthly contract",111.25,3646.8,"No"
"234","Married",46,"Yes","Yes","No","No","DSL","No","Yes","Monthly contract",69.55,2958.95,"Yes"
"991","Married",70,"No","No","No","No phone ","DSL","Yes","Yes","Two year contract",60.2,3739.8,"No"
"743","Married",47,"Yes","Yes","No","Yes","Fiber optic","No","Yes","One year contract",104.55,4874.8,"No"
"573","Married",43,"Yes","No","Yes","Yes","Cable","No","Yes","Monthly contract",78.4,3650.35,"No"
"127","Married",57,"Yes","No","Yes","No","DSL","Yes","Yes","Two year contract",75.95,4461.85,"No"
"731","Married",3,"Yes","yes","Yes","No","Fiber optic","No","Yes","Monthly contract",89.15,292.8,"Yes"
"513","Married",2,"Yes","yes","Yes","No","Fiber optic","Yes","Yes","Monthly contract",100.3,52.2,"Yes"
"917","Married",4,"Yes","yes","Yes","No","DSL","Yes","No","Monthly contract",67.65,273,"No"
"222","Married",8,"Yes","No","Yes","No","Cable","Yes","No","Monthly contract",84.05,644.35,"Yes"
"372","Married",43,"Yes","Yes","Yes","Yes","Fiber optic","No","Yes","One year contract",89.85,3662.25,"No"
"12","Single",55,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",19.4,1124.2,"No"
"560","Married",64,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","One year contract",108.05,7008.15,"No"
"717","Married",5,"Yes","yes","No","Yes","Fiber optic","No","Yes","Monthly contract",85.25,308.05,"Yes"
"389","Married",15,"Yes","No","No","Yes","Fiber optic","Yes","Yes","One year contract",102.1,1625.65,"No"
"184","Married",61,"Yes","No","Yes","Yes","Cable","No","Yes","One year contract",97,6413.65,"No"
"79","Married",1,"Yes","Yes","No","Yes","Cable","No","No","Monthly contract",80.7,45.7,"Yes"
"813","Married",41,"Yes","Yes","Yes","No","DSL","No","No","Monthly contract",64.5,2708.2,"No"
"374","Married",20,"Yes","Yes","Yes","Yes","Fiber optic","No","No","Monthly contract",72.1,1463.5,"No"
"388","Married",60,"Yes","No","No","Yes","Fiber optic","Yes","No","One year contract",81.7,3958.25,"No"
"939","Married",12,"Yes","yes","No","No","DSL","No","No","Monthly contract",50.55,597,"No"
"16","Married",43,"Yes","No","No","Yes","Cable","No","Yes","Monthly contract",104.15,5067.45,"Yes"
"569","Married",35,"Yes","No","Yes","Yes","Fiber optic","No","No","Monthly contract",85.45,2917.5,"No"
"404","Single",70,"Yes","yes","No","Yes","No Internet","No internet ","No internet ","Two year contract",24.25,1723.95,"No"
"894","Married",30,"No","No","No","No phone ","DSL","Yes","Yes","One year contract",58.25,1785.65,"No"
"450","Married",13,"Yes","yes","Yes","No","DSL","No","Yes","Monthly contract",70.3,1181.75,"No"
"46","Married",24,"Yes","No","Yes","No","Cable","No","Yes","Monthly contract",95.15,2857.6,"Yes"
"801","Single",54,"No","No","No","No phone ","DSL","No","No","Two year contract",30.1,1453.1,"No"
"786","Single",1,"Yes","Yes","No","No","DSL","No","No","Monthly contract",44.7,145.15,"Yes"
"431","Single",43,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","One year contract",19.8,1124.2,"No"
"935","Married",46,"Yes","Yes","No","Yes","Fiber optic","No","No","Monthly contract",86.1,4287.2,"No"
"235","Married",52,"Yes","Yes","No","Yes","Cable","No","Yes","Two year contract",105.55,5138.1,"No"
"855","Single",8,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.9,251.6,"No"
"36","Single",48,"Yes","Yes","Yes","Yes","No Internet","No internet ","No internet ","Two year contract",24.25,1417.9,"No"
"461","Married",30,"Yes","yes","Yes","No","DSL","Yes","No","Monthly contract",64.35,1889.5,"No"
"132","Married",24,"Yes","Yes","No","No","Cable","Yes","Yes","Monthly contract",96.1,2423.4,"No"
"25","Single",12,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","One year contract",20.05,225.55,"No"
"412","Married",1,"Yes","Yes","Yes","No","Fiber optic","No","No","Monthly contract",75.3,33.6,"No"
"195","Single",15,"Yes","Yes","No","Yes","No Internet","No internet ","No internet ","Two year contract",24.6,112.3,"No"
"858","Married",49,"Yes","Yes","No","Yes","DSL","Yes","Yes","Two year contract",81.75,2958.95,"No"
"428","Married",31,"Yes","No","No","No","Fiber optic","Yes","Yes","Monthly contract",105,3046.05,"Yes"
"71","Married",41,"Yes","No","Yes","No","Cable","Yes","No","Two year contract",65,3141.7,"No"
"618","Single",16,"Yes","yes","Yes","No","DSL","No","No","One year contract",44.3,422.3,"No"
"707","Married",65,"No","No","No","No phone ","DSL","Yes","No","Two year contract",35.8,1563.95,"No"
"934","Single",68,"Yes","yes","No","No","No Internet","No internet ","No internet ","Two year contract",20.85,1277.75,"No"
"852","Married",12,"Yes","Yes","Yes","No","Fiber optic","No","No","Monthly contract",80.3,1112.3,"No"
"362","Married",63,"Yes","Yes","Yes","Yes","Fiber optic","Yes","No","One year contract",89.7,5898.6,"Yes"
"870","Single",3,"No","No","No","No phone ","DSL","No","No","Monthly contract",24.6,83.75,"Yes"
"349","Single",40,"Yes","No","Yes","No","No Internet","No internet ","No internet ","One year contract",20.55,540.05,"No"
"688","Married",5,"Yes","yes","No","Yes","Fiber optic","No","Yes","Monthly contract",94.35,313.6,"Yes"
"358","Married",5,"Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Monthly contract",101.3,308.05,"No"
"310","Single",3,"Yes","No","Yes","Yes","No Internet","No internet ","No internet ","Monthly contract",24.85,94.15,"No"
"821","Married",32,"Yes","No","Yes","No","Fiber optic","No","No","Monthly contract",79.85,2633.3,"Yes"
"416","Married",69,"Yes","Yes","No","No","DSL","Yes","No","Two year contract",79.85,5289.05,"No"
"356","Married",72,"Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Two year contract",105.55,7015.9,"No"
"493","Married",23,"Yes","yes","No","No","Fiber optic","Yes","Yes","Monthly contract",93.5,1782.4,"No"
"482","Single",52,"Yes","yes","No","No","No Internet","No internet ","No internet ","Two year contract",19.55,1099.6,"No"
"366","Single",40,"No","No","No","No phone ","DSL","No","No","Monthly contract",40.4,899.45,"No"
"730","Married",72,"Yes","No","Yes","Yes","DSL","Yes","Yes","Two year contract",90.4,6588.95,"No"
"819","Married",60,"Yes","No","Yes","Yes","Fiber optic","No","No","One year contract",81.85,4456.35,"No"
"70","Married",18,"Yes","Yes","Yes","No","Cable","Yes","No","Monthly contract",52.2,1058.1,"No"
"927","Single",8,"Yes","yes","Yes","Yes","No Internet","No internet ","No internet ","Monthly contract",25.55,233.9,"No"
"715","Married",61,"Yes","No","Yes","Yes","DSL","Yes","No","Two year contract",59.6,3505.1,"No"
"995","Single",59,"No","No","No","No phone ","DSL","Yes","No","One year contract",44.45,2145,"No"
"103","Single",1,"Yes","No","Yes","No","DSL","No","No","Monthly contract",44.95,72.1,"Yes"
"73","Married",65,"Yes","Yes","Yes","Yes","DSL","Yes","No","One year contract",55.9,4264,"No"
"650","Single",10,"Yes","yes","No","Yes","No Internet","No internet ","No internet ","Two year contract",25.4,161.95,"No"
"988","Married",49,"Yes","Yes","Yes","No","Fiber optic","No","No","One year contract",91.25,3921.3,"No"
"497","Married",69,"Yes","Yes","No","No","DSL","Yes","Yes","Two year contract",71.9,4616.05,"No"
"382","Married",9,"Yes","Yes","Yes","No","DSL","Yes","No","Monthly contract",55.05,1064.65,"Yes"
"667","Single",43,"Yes","yes","No","No","No Internet","No internet ","No internet ","Two year contract",19.8,1099.6,"No"
"266","Married",72,"Yes","No","Yes","Yes","Cable","Yes","Yes","Two year contract",108.05,8065.65,"No"
"891","Married",21,"Yes","No","Yes","Yes","Fiber optic","No","Yes","Monthly contract",110.5,2239.4,"No"
"367","Married",30,"No","No","No","No phone ","DSL","Yes","Yes","One year contract",59.55,1785.65,"No"
"972","Married",17,"Yes","yes","Yes","No","DSL","No","Yes","One year contract",69.7,731.3,"No"
"287","Married",11,"Yes","Yes","Yes","No","Cable","Yes","No","Monthly contract",80.85,1120.3,"Yes"
"365","Married",1,"Yes","Yes","Yes","No","Fiber optic","No","No","Monthly contract",69.65,20,"No"
"454","Married",72,"Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Two year contract",115.8,8306.05,"No"
"974","Married",12,"Yes","yes","Yes","Yes","Fiber optic","No","No","Monthly contract",79.4,1111.65,"No"
"348","Single",52,"Yes","No","Yes","No","No Internet","No internet ","No internet ","Two year contract",20.6,1192.7,"No"
"709","Married",58,"Yes","No","No","Yes","Fiber optic","Yes","Yes","One year contract",105.45,5430.35,"No"
"998","Married",57,"Yes","No","Yes","No","Fiber optic","No","No","One year contract",73.95,4326.8,"No"
"187","Single",54,"Yes","Yes","No","Yes","No Internet","No internet ","No internet ","One year contract",24.7,1203.95,"No"
"115","Married",4,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",18.95,168.15,"Yes"
"282","Single",2,"Yes","Yes","Yes","No","DSL","No","No","Monthly contract",45.35,20.75,"No"
"827","Single",46,"Yes","yes","No","Yes","No Internet","No internet ","No internet ","Two year contract",24.35,1359.7,"No"
"140","Married",6,"No","No","No","No phone ","DSL","No","No","Monthly contract",44.85,92.5,"No"
